energy_E_over_J,S_alpha
16.437659,3.27757618
16.6693396,3.27490391
16.9072358,3.25027354
17.1577035,3.28381325
17.4067706,3.25902206
17.6578231,3.25020006
17.9101966,3.2329557
18.1614192,3.20889235
18.439557,3.21612679
18.7185961,3.18356879
18.9908962,3.19622095
19.2770665,3.17566514
19.5549554,3.1485974
19.8469182,3.1225149
20.1477148,3.14766204
20.4504185,3.13075444
20.7545637,3.09045741
21.0752697,3.06150094
21.425939,3.01035978
21.7704516,3.02945494
22.1303126,3.01249253
22.4887949,2.96818806
22.8867436,2.94063133
23.2847437,2.93152704
23.6511046,2.90553512
24.0616019,2.92511107
24.5279273,2.90357297
24.9293798,2.86175598
25.4268268,2.80539861
25.9599751,2.75103057
26.4925169,2.75487995
27.0419261,2.66463373
27.7221534,2.6295981
28.3773868,2.66540456
29.1471513,2.57500337
29.8696662,2.47084263
30.7460526,2.41322044
31.7471136,2.26019374
32.8697126,2.2470917
34.257363,1.89014859
35.94873,1.96305659
38.55773,1.31995554
41.8422186,1.0548494
42.4829225,1.13197934
42.9591487,0.865159856
44.3845034,0.285137185
45.6753128,0.464259252
47.369719,0.266628677
49.8757481,0.258854141
