energy_E_over_J,S_alpha
2.07172122,3.81807935
2.14346675,3.81416816
2.21555672,3.81037437
2.28919276,3.81155874
2.35509419,3.81180453
2.42673628,3.80708325
2.50011798,3.8127912
2.57173671,3.8040326
2.6462413,3.81343274
2.7188425,3.80167587
2.79360578,3.80608165
2.86653195,3.78550682
2.94108861,3.79527415
3,0.693147181
3.01064732,3.77552451
3.08496545,3.77221514
3.15749134,3.77345544
3.23213804,3.78423534
3.30855516,3.76585148
3.3811653,3.75549749
3.45713112,3.7649313
3.5379843,3.77990896
3.61193036,3.75549544
3.68742185,3.74270007
3.76625777,3.74689663
3.84631629,3.73823017
3.92443279,3.75727867
4.00079998,3.75084751
4.08100187,3.74117485
4.15973913,3.72774077
4.23611339,3.72189578
4.31839446,3.71820704
4.40272758,3.68585083
4.48385393,3.71965806
4.56760731,3.69381601
4.64795171,3.70440291
4.73497639,3.69938272
4.82231074,3.67832762
4.90772285,3.68979955
4.98967958,3.67416207
5,0.693147181
5.07937054,3.67533669
5.15907092,3.67121512
5.2484135,3.65141979
5.33318449,3.64497897
5.42595178,3.62484681
5.51263214,3.61978721
5.60596108,3.61898857
5.6975033,3.63683299
5.79618291,3.60863593
5.88575508,3.60537054
5.98177533,3.60240947
6.07747805,3.58743274
6.16844726,3.5976054
6.26682752,3.56206431
6.36482626,3.56853914
6.46881828,3.55223671
6.56340457,3.54440842
6.66894295,3.53985258
6.77766379,3.53017453
6.8792083,3.51561468
6.98995873,3.49549507
7,0.693147181
7.09414862,3.48988915
7.20363549,3.48397866
7.31589602,3.49065222
7.43280083,3.49034144
7.55089293,3.44619126
7.67269858,3.43759112
7.79527205,3.40344396
7.91728634,3.419369
8.04573927,3.39769601
8.16836611,3.3891228
8.30446297,3.36504179
8.43049179,3.36585068
8.57001685,3.34641631
8.70357192,3.3164596
8.84629247,3.32205526
8.99316939,3.27190092
9.14935846,3.26288178
9.29779798,3.25989554
9.46599082,3.20187576
9.62319997,3.20286322
9.79875441,3.19007992
9.98497381,3.14518202
10.1631239,3.14239553
10.3572527,3.09852071
10.564767,3.0727676
10.7888234,3.06135258
11.0060071,3.00767446
11.2404894,2.97248795
11.4852086,2.94296572
11.7576259,2.80589739
12.0573654,2.85557609
12.3606465,2.75033434
12.7154685,2.6675779
13.1056363,2.6201915
13.5934253,2.54299824
14.1128089,2.36614509
14.8249693,2.09116984
15.8625869,1.79805309
17.4461788,1.11601142
17.5845677,0.80483267
17.7178397,0.930724594
18.2072938,0.566810976
18.3627417,0.448999238
