rb_over_a,delta_over_omega,entanglement_negativity
1.0928,1.793103448,0.28030523487
1.0928,1.931034483,0.276362645449
1.0928,2.068965517,0.268310226874
1.0928,2.206896552,0.256539746251
1.0928,2.344827586,0.24197716068
1.0928,2.482758621,0.225757536585
1.0928,2.620689655,0.208809724324
1.0928,2.75862069,0.191722878748
1.0928,2.896551724,0.174835551319
1.0928,3.034482759,0.158349762358
1.0928,3.172413793,0.142405234911
1.0928,3.310344828,0.127120048098
1.0928,3.448275862,0.112610667834
1.0928,3.586206897,0.0989939826806
1.0928,3.724137931,0.0863840774454
1.0928,3.862068966,0.07487247429
1.0928,4,0.0645204230186
1.1391,0,0.122677109045
1.1391,0.1379310345,0.138979492219
1.1391,0.275862069,0.156636381124
1.1391,0.4137931034,0.175772640426
1.1391,0.5517241379,0.196636325157
1.1391,0.6896551724,0.219650199802
1.1391,0.8275862069,0.245397400874
1.1391,0.9655172414,0.273989983293
1.1391,1.103448276,0.301580946408
1.1391,1.24137931,0.312776223488
1.1391,1.379310345,0.289424015464
1.1391,1.517241379,0.244169759769
1.1391,1.655172414,0.203075261664
1.1391,1.793103448,0.174624072539
1.1391,1.931034483,0.157021026773
1.1391,2.068965517,0.147391785409
1.1391,2.206896552,0.143958403497
1.1391,2.344827586,0.146080849235
1.1391,2.482758621,0.154137846561
1.1391,2.620689655,0.169588656358
1.1391,2.75862069,0.19501354517
1.1391,2.896551724,0.232760951944
1.1391,3.034482759,0.277976202945
1.1391,3.172413793,0.308465116055
1.1391,3.310344828,0.304951235985
1.1391,3.448275862,0.279947153959
1.1391,3.586206897,0.251308014639
1.1391,3.724137931,0.225026797962
1.1391,3.862068966,0.20151983969
1.1391,4,0.180246989886
1.1855,0,0.133007316247
1.1855,0.1379310345,0.150840542495
1.1855,0.275862069,0.1705145518
1.1855,0.4137931034,0.192414661545
1.1855,0.5517241379,0.2172456284
1.1855,0.6896551724,0.246233283989
1.1855,0.8275862069,0.280726191619
1.1855,0.9655172414,0.314566485783
1.1855,1.103448276,0.305520383824
1.1855,1.24137931,0.229702688841
1.1855,1.379310345,0.160717347848
1.1855,1.517241379,0.120303024944
1.1855,1.655172414,0.0967149705951
1.1855,1.793103448,0.0818774925665
1.1855,1.931034483,0.0719500252413
1.1855,2.068965517,0.0650483363728
1.1855,2.206896552,0.0601642251606
1.1855,2.344827586,0.0567203216676
1.1855,2.482758621,0.0543734459987
1.1855,2.620689655,0.0529130883563
1.1855,2.75862069,0.0522196399621
1.1855,2.896551724,0.0522389934799
1.1855,3.034482759,0.0529726311055
1.1855,3.172413793,0.0544778855656
1.1855,3.310344828,0.056878462708
1.1855,3.448275862,0.0603907900206
1.1855,3.586206897,0.0653673694905
1.1855,3.724137931,0.072401715531
1.1855,3.862068966,0.0825317060675
1.1855,4,0.0976978117256
1.2319,0,0.141721008035
1.2319,0.1379310345,0.160679145814
1.2319,0.275862069,0.181849781803
1.2319,0.4137931034,0.20585392422
1.2319,0.5517241379,0.233858293316
1.2319,0.6896551724,0.267911068295
1.2319,0.8275862069,0.308136485189
1.2319,0.9655172414,0.32136098937
1.2319,1.103448276,0.239975502678
1.2319,1.24137931,0.154225301776
1.2319,1.379310345,0.108199988652
1.2319,1.517241379,0.0829079850149
1.2319,1.655172414,0.0672935782153
1.2319,1.793103448,0.0568013179574
1.2319,1.931034483,0.0493561521404
1.2319,2.068965517,0.0438758914444
1.2319,2.206896552,0.0397400548022
1.2319,2.344827586,0.0365647454555
1.2319,2.482758621,0.0340984621788
1.2319,2.620689655,0.0321748167881
1.2319,2.75862069,0.0306746496751
1.2319,2.896551724,0.0295150133887
1.2319,3.034482759,0.0286370288638
1.2319,3.172413793,0.027999123055
1.2319,3.310344828,0.0275726960241
1.2319,3.448275862,0.027339409083
1.2319,3.586206897,0.0272894912648
1.2319,3.724137931,0.0274208759089
1.2319,3.862068966,0.027739020754
1.2319,4,0.028257385105
1.2783,0,0.148787579773
1.2783,0.1379310345,0.168472942076
1.2783,0.275862069,0.190609095161
1.2783,0.4137931034,0.215994920157
1.2783,0.5517241379,0.246174640268
1.2783,0.6896551724,0.283791299773
1.2783,0.8275862069,0.324819984906
1.2783,0.9655172414,0.301461972189
1.2783,1.103448276,0.192149795284
1.2783,1.24137931,0.122493577454
1.2783,1.379310345,0.08755683403
1.2783,1.517241379,0.0675007856301
1.2783,1.655172414,0.0545755967316
1.2783,1.793103448,0.0456248691137
1.2783,1.931034483,0.03913050751
1.2783,2.068965517,0.0342632039506
1.2783,2.206896552,0.0305304624139
1.2783,2.344827586,0.0276131794195
1.2783,2.482758621,0.0252993262553
1.2783,2.620689655,0.0234416637454
1.2783,2.75862069,0.0219361516274
1.2783,2.896551724,0.0207056388293
1.2783,3.034482759,0.0196961487938
1.2783,3.172413793,0.0188644941113
1.2783,3.310344828,0.0181789580397
1.2783,3.448275862,0.0176153787949
1.2783,3.586206897,0.0171552690097
1.2783,3.724137931,0.0167844772314
1.2783,3.862068966,0.0164922273221
1.2783,4,0.0162704273699
1.3247,0,0.154271906528
1.3247,0.1379310345,0.174321037461
1.3247,0.275862069,0.196927361981
1.3247,0.4137931034,0.222987878238
1.3247,0.5517241379,0.254274195994
1.3247,0.6896551724,0.293767378099
1.3247,0.8275862069,0.333229367941
1.3247,0.9655172414,0.283847180981
1.3247,1.103448276,0.17021885003
1.3247,1.24137931,0.109063747732
1.3247,1.379310345,0.0782589631458
1.3247,1.517241379,0.0600957675466
1.3247,1.655172414,0.0481653023941
1.3247,1.793103448,0.0398029120993
1.3247,1.931034483,0.0336860535948
1.3247,2.068965517,0.029078818352
1.3247,2.206896552,0.0255281554366
1.3247,2.344827586,0.0227418039284
1.3247,2.482758621,0.0205224834494
1.3247,2.620689655,0.018730958381
1.3247,2.75862069,0.0172702787753
1.3247,2.896551724,0.0160666215199
1.3247,3.034482759,0.0150659780016
1.3247,3.172413793,0.0142278145755
1.3247,3.310344828,0.0135209645851
1.3247,3.448275862,0.0129214428869
1.3247,3.586206897,0.0124105704836
1.3247,3.724137931,0.0119736828763
1.3247,3.862068966,0.011599185373
1.3247,4,0.0112778543402
1.371,0,0.15828779114
1.371,0.1379310345,0.17838618401
1.371,0.275862069,0.201029667967
1.371,0.4137931034,0.227129871877
1.371,0.5517241379,0.258511776678
1.371,0.6896551724,0.298332004025
1.371,0.8275862069,0.337685284495
1.371,0.9655172414,0.280618618988
1.371,1.103448276,0.164440183903
1.371,1.24137931,0.10476941146
1.371,1.379310345,0.0747203072008
1.371,1.517241379,0.0568807595038
1.371,1.655172414,0.0451082818798
1.371,1.793103448,0.0368357391806
1.371,1.931034483,0.0307780834114
1.371,2.068965517,0.0262129195857
1.371,2.206896552,0.0226946760788
1.371,2.344827586,0.0199349728832
1.371,2.482758621,0.0177370443042
1.371,2.620689655,0.0159657002361
1.371,2.75862069,0.0145210826947
1.371,2.896551724,0.0133308445722
1.371,3.034482759,0.012341056588
1.371,3.172413793,0.0115109176534
1.371,3.310344828,0.0108091864954
1.371,3.448275862,0.0102116897865
1.371,3.586206897,0.00969954795593
1.371,3.724137931,0.00925682264193
1.371,3.862068966,0.00887397495116
1.371,4,0.00854036320071
1.4174,0,0.160997956881
1.4174,0.1379310345,0.180884672881
1.4174,0.275862069,0.203206643743
1.4174,0.4137931034,0.228818235843
1.4174,0.5517241379,0.25943789732
1.4174,0.6896551724,0.298234011267
1.4174,0.8275862069,0.339663213937
1.4174,0.9655172414,0.292657130597
1.4174,1.103448276,0.170786145781
1.4174,1.24137931,0.106816306777
1.4174,1.379310345,0.0751384669444
1.4174,1.517241379,0.0565162036494
1.4174,1.655172414,0.0442965986682
1.4174,1.793103448,0.0357426960399
1.4174,1.931034483,0.0295011167702
1.4174,2.068965517,0.0248089786283
1.4174,2.206896552,0.021202136343
1.4174,2.344827586,0.0183787865784
1.4174,2.482758621,0.0161376262544
1.4174,2.620689655,0.014334805406
1.4174,2.75862069,0.0128682002238
1.4174,2.896551724,0.0116629891164
1.4174,3.034482759,0.0106633850936
1.4174,3.172413793,0.00982718830261
1.4174,3.310344828,0.00912097351674
1.4174,3.448275862,0.00852209215654
1.4174,3.586206897,0.00800970426917
1.4174,3.724137931,0.00756839134576
1.4174,3.862068966,0.00718591721724
1.4174,4,0.00685249258909
1.4638,0,0.162542634993
1.4638,0.1379310345,0.182006252848
1.4638,0.275862069,0.203724487654
1.4638,0.4137931034,0.228441816361
1.4638,0.5517241379,0.257650909078
1.4638,0.6896551724,0.294283902328
1.4638,0.8275862069,0.337571515492
1.4638,0.9655172414,0.316618065736
1.4638,1.103448276,0.189932321441
1.4638,1.24137931,0.1150928578
1.4638,1.379310345,0.0791859937777
1.4638,1.517241379,0.058637612475
1.4638,1.655172414,0.04536030812
1.4638,1.793103448,0.0361567325619
1.4638,1.931034483,0.0294878647649
1.4638,2.068965517,0.0245022500422
1.4638,2.206896552,0.0206874713188
1.4638,2.344827586,0.0177137944367
1.4638,2.482758621,0.0153617274134
1.4638,2.620689655,0.0134762837284
1.4638,2.75862069,0.0119476791538
1.4638,2.896551724,0.0106957744241
1.4638,3.034482759,0.00965980825445
1.4638,3.172413793,0.00879749769909
1.4638,3.310344828,0.00807297467805
1.4638,3.448275862,0.0074597283685
1.4638,3.586206897,0.00693702051328
1.4638,3.724137931,0.00648852143411
1.4638,3.862068966,0.00610126110038
1.4638,4,0.00576486323688
1.5102,0,0.16306650274
1.5102,0.1379310345,0.18194066386
1.5102,0.275862069,0.20284324861
1.5102,0.4137931034,0.226381907867
1.5102,0.5517241379,0.253761195362
1.5102,0.6896551724,0.287428687111
1.5102,0.8275862069,0.329808561295
1.5102,0.9655172414,0.342282466751
1.5102,1.103448276,0.226164771429
1.5102,1.24137931,0.131633217956
1.5102,1.379310345,0.0875280011772
1.5102,1.517241379,0.0634646607113
1.5102,1.655172414,0.0483384001591
1.5102,1.793103448,0.0380272321306
1.5102,1.931034483,0.0306372265852
1.5102,2.068965517,0.0251606974495
1.5102,2.206896552,0.0209991961623
1.5102,2.344827586,0.0177744352368
1.5102,2.482758621,0.0152364498772
1.5102,2.620689655,0.0132112219626
1.5102,2.75862069,0.0115761521088
1.5102,2.896551724,0.0102423419639
1.5102,3.034482759,0.00914308665885
1.5102,3.172413793,0.00823132290875
1.5102,3.310344828,0.00746821206394
1.5102,3.448275862,0.00682483154717
1.5102,3.586206897,0.00627866461988
1.5102,3.724137931,0.00581200447392
1.5102,3.862068966,0.00541080788623
1.5102,4,0.00506385142475
1.5566,0,0.162708527478
1.5566,0.1379310345,0.180863081733
1.5566,0.275862069,0.200798172805
1.5566,0.4137931034,0.222978836445
1.5566,0.5517241379,0.24831459731
1.5566,0.6896551724,0.278652145836
1.5566,0.8275862069,0.317174744589
1.5566,0.9655172414,0.353201881898
1.5566,1.103448276,0.283264214614
1.5566,1.24137931,0.161994311444
1.5566,1.379310345,0.102210298509
1.5566,1.517241379,0.0718795112344
1.5566,1.655172414,0.0536691019814
1.5566,1.793103448,0.0415786790569
1.5566,1.931034483,0.0330603407919
1.5566,2.068965517,0.0268252626724
1.5566,2.206896552,0.0221319108289
1.5566,2.344827586,0.0185258535042
1.5566,2.482758621,0.0157060887268
1.5566,2.620689655,0.0134692977805
1.5566,2.75862069,0.0116729133261
1.5566,2.896551724,0.0102142085447
1.5566,3.034482759,0.00901798431615
1.5566,3.172413793,0.00802961812983
1.5566,3.310344828,0.00720573338977
1.5566,3.448275862,0.00651388295379
1.5566,3.586206897,0.00592892087317
1.5566,3.724137931,0.00543115027886
1.5566,3.862068966,0.00500500049854
1.5566,4,0.00463806010669
1.6029,0,0.161620240027
1.6029,0.1379310345,0.178942070268
1.6029,0.275862069,0.197807041991
1.6029,0.4137931034,0.21853531668
1.6029,0.5517241379,0.241772764342
1.6029,0.6896551724,0.268802368012
1.6029,0.8275862069,0.302172917743
1.6029,0.9655172414,0.34323681628
1.6029,1.103448276,0.342944497745
1.6029,1.24137931,0.218154861651
1.6029,1.379310345,0.128246174854
1.6029,1.517241379,0.0859172581583
1.6029,1.655172414,0.062364827481
1.6029,1.793103448,0.0473847007793
1.6029,1.931034483,0.0371037319171
1.6029,2.068965517,0.0297086604757
1.6029,2.206896552,0.0242181855773
1.6029,2.344827586,0.0200422929255
1.6029,2.482758621,0.0168070666665
1.6029,2.620689655,0.014260398543
1.6029,2.75862069,0.0122287771619
1.6029,2.896551724,0.0105893313533
1.6029,3.034482759,0.00925169366082
1.6029,3.172413793,0.00815215954236
1.6029,3.310344828,0.00723980311675
1.6029,3.448275862,0.00647697910279
1.6029,3.586206897,0.00583469606922
1.6029,3.724137931,0.00529037637884
1.6029,3.862068966,0.0048262634629
1.6029,4,0.0044282199908
1.6493,0,0.159993584321
1.6493,0.1379310345,0.176383393817
1.6493,0.275862069,0.194053547426
1.6493,0.4137931034,0.21327957175
1.6493,0.5517241379,0.234450579559
1.6493,0.6896551724,0.25839736629
1.6493,0.8275862069,0.286781665786
1.6493,0.9655172414,0.322543424483
1.6493,1.103448276,0.359641133164
1.6493,1.24137931,0.308351740969
1.6493,1.379310345,0.179111962019
1.6493,1.517241379,0.110675506924
1.6493,1.655172414,0.0767319708556
1.6493,1.793103448,0.056700436378
1.6493,1.931034483,0.0435268208743
1.6493,2.068965517,0.0343023029352
1.6493,2.206896552,0.0275829238039
1.6493,2.344827586,0.0225463685932
1.6493,2.482758621,0.018690759297
1.6493,2.620689655,0.01568626903
1.6493,2.75862069,0.0133104468356
1.6493,2.896551724,0.0114078714456
1.6493,3.034482759,0.00986727783142
1.6493,3.172413793,0.00860648918292
1.6493,3.310344828,0.00756732851507
1.6493,3.448275862,0.00670295344862
1.6493,3.586206897,0.00597864781232
1.6493,3.724137931,0.00536758026132
1.6493,3.862068966,0.00484876101276
1.6493,4,0.00440573297022
1.6957,0,0.158376754943
1.6957,0.1379310345,0.173664196343
1.6957,0.275862069,0.18997155616
1.6957,0.4137931034,0.207501748524
1.6957,0.5517241379,0.226623470175
1.6957,0.6896551724,0.247789551905
1.6957,0.8275862069,0.271924045733
1.6957,0.9655172414,0.300953209607
1.6957,1.103448276,0.337651781509
1.6957,1.24137931,0.365850123025
1.6957,1.379310345,0.28063397133
1.6957,1.517241379,0.160747350788
1.6957,1.655172414,0.102407400403
1.6957,1.793103448,0.0722237900813
1.6957,1.931034483,0.0538526413111
1.6957,2.068965517,0.0415572033916
1.6957,2.206896552,0.0328553530328
1.6957,2.344827586,0.0264708885572
1.6957,2.482758621,0.0216610268929
1.6957,2.620689655,0.0179640026399
1.6957,2.75862069,0.015073932425
1.6957,2.896551724,0.0127825650211
1.6957,3.034482759,0.0109434699361
1.6957,3.172413793,0.00945134146142
1.6957,3.310344828,0.0082279865353
1.6957,3.448275862,0.00721807664957
1.6957,3.586206897,0.00637678158796
1.6957,3.724137931,0.00567084721263
1.6957,3.862068966,0.00507452552133
1.6957,4,0.00456764333373
1.7421,0,0.157640386294
1.7421,0.1379310345,0.172269337496
1.7421,0.275862069,0.187343184603
1.7421,0.4137931034,0.202808908093
1.7421,0.5517241379,0.219125969736
1.7421,0.6896551724,0.237230381399
1.7421,0.8275862069,0.257785062013
1.7421,0.9655172414,0.281386584644
1.7421,1.103448276,0.30995940707
1.7421,1.24137931,0.345974003624
1.7421,1.379310345,0.369366831897
1.7421,1.517241379,0.27491654013
1.7421,1.655172414,0.157522547717
1.7421,1.793103448,0.101109769243
1.7421,1.931034483,0.0715912437113
1.7421,2.068965517,0.0534819596844
1.7421,2.206896552,0.0413052441327
1.7421,2.344827586,0.0326625005817
1.7421,2.482758621,0.0263075812509
1.7421,2.620689655,0.0215150406305
1.7421,2.75862069,0.0178263729528
1.7421,2.896551724,0.0149403795516
1.7421,3.034482759,0.0126506599443
1.7421,3.172413793,0.0108118082937
1.7421,3.310344828,0.00931909166419
1.7421,3.448275862,0.00809561416094
1.7421,3.586206897,0.00708333623878
1.7421,3.724137931,0.00624053798977
1.7421,3.862068966,0.00553302755388
1.7421,4,0.00493511415122
1.7884,0,0.157295766377
1.7884,0.1379310345,0.171683647978
1.7884,0.275862069,0.186451995326
1.7884,0.4137931034,0.201415695064
1.7884,0.5517241379,0.216383890099
1.7884,0.6896551724,0.231214667582
1.7884,0.8275862069,0.246220442703
1.7884,0.9655172414,0.263915109118
1.7884,1.103448276,0.286042853415
1.7884,1.24137931,0.3128732023
1.7884,1.379310345,0.346746733963
1.7884,1.517241379,0.374324503573
1.7884,1.655172414,0.296131213626
1.7884,1.793103448,0.169683962082
1.7884,1.931034483,0.106986217614
1.7884,2.068965517,0.0750253502711
1.7884,2.206896552,0.0557339367016
1.7884,2.344827586,0.0428763100908
1.7884,2.482758621,0.0337994829184
1.7884,2.620689655,0.0271507492209
1.7884,2.75862069,0.0221474382462
1.7884,2.896551724,0.0183055197282
1.7884,3.034482759,0.0153047296713
1.7884,3.172413793,0.0129273553719
1.7884,3.310344828,0.0110205033509
1.7884,3.448275862,0.00947424948555
1.7884,3.586206897,0.00820808134004
1.7884,3.724137931,0.00716125602059
1.7884,3.862068966,0.00629038830543
1.7884,4,0.00555975079938
1.8348,0,0.157287042813
1.8348,0.1379310345,0.171583949019
1.8348,0.275862069,0.186276636145
1.8348,0.4137931034,0.201180492947
1.8348,0.5517241379,0.216089068005
1.8348,0.6896551724,0.230773776311
1.8348,0.8275862069,0.24500234439
1.8348,0.9655172414,0.258564953157
1.8348,1.103448276,0.271439561817
1.8348,1.24137931,0.286148439276
1.8348,1.379310345,0.309283440443
1.8348,1.517241379,0.339280279897
1.8348,1.655172414,0.372683187656
1.8348,1.793103448,0.344009976002
1.8348,1.931034483,0.207270790937
1.8348,2.068965517,0.123974019443
1.8348,2.206896552,0.0842809464894
1.8348,2.344827586,0.0615659672815
1.8348,2.482758621,0.0468612231152
1.8348,2.620689655,0.0366580323018
1.8348,2.75862069,0.0292692385524
1.8348,2.896551724,0.0237541068082
1.8348,3.034482759,0.0195456527447
1.8348,3.172413793,0.0162750132069
1.8348,3.310344828,0.013694631808
1.8348,3.448275862,0.0116322885831
1.8348,3.586206897,0.00996508484788
1.8348,3.724137931,0.00860354717688
1.8348,3.862068966,0.00748043308435
1.8348,4,0.00654818894979
1.8812,0,0.157676252566
1.8812,0.1379310345,0.172019628376
1.8812,0.275862069,0.186819146763
1.8812,0.4137931034,0.201905342476
1.8812,0.5517241379,0.217084536699
1.8812,0.6896551724,0.232132788496
1.8812,0.8275862069,0.246802369217
1.8812,0.9655172414,0.260816088985
1.8812,1.103448276,0.273889351527
1.8812,1.24137931,0.285754533983
1.8812,1.379310345,0.296207816181
1.8812,1.517241379,0.305691340295
1.8812,1.655172414,0.324532298473
1.8812,1.793103448,0.355617496113
1.8812,1.931034483,0.378405967161
1.8812,2.068965517,0.293765918064
1.8812,2.206896552,0.165726755551
1.8812,2.344827586,0.104422529715
1.8812,2.482758621,0.0733511452174
1.8812,2.620689655,0.0545804195585
1.8812,2.75862069,0.0420562735004
1.8812,2.896551724,0.0332045272827
1.8812,3.034482759,0.0267107563351
1.8812,3.172413793,0.0218155251647
1.8812,3.310344828,0.0180491520708
1.8812,3.448275862,0.0151012455471
1.8812,3.586206897,0.0127608165464
1.8812,3.724137931,0.010879561187
1.8812,3.862068966,0.00935081227476
1.8812,4,0.00809633891177
1.9276,0,0.158517145869
1.9276,0.1379310345,0.1730346345
1.9276,0.275862069,0.188103051399
1.9276,0.4137931034,0.203585448905
1.9276,0.5517241379,0.219317337489
1.9276,0.6896551724,0.235107846313
1.9276,0.8275862069,0.250725391574
1.9276,0.9655172414,0.265891106886
1.9276,1.103448276,0.280284055957
1.9276,1.24137931,0.293550797228
1.9276,1.379310345,0.305332814629
1.9276,1.517241379,0.315304984785
1.9276,1.655172414,0.323188813575
1.9276,1.793103448,0.328732211937
1.9276,1.931034483,0.333222564713
1.9276,2.068965517,0.358495987088
1.9276,2.206896552,0.375845137182
1.9276,2.344827586,0.279321135475
1.9276,2.482758621,0.155191090349
1.9276,2.620689655,0.0985080079601
1.9276,2.75862069,0.0695839335797
1.9276,2.896551724,0.0519856329196
1.9276,3.034482759,0.0401927456186
1.9276,3.172413793,0.0318333311146
1.9276,3.310344828,0.0256819267752
1.9276,3.448275862,0.0210340865138
1.9276,3.586206897,0.0174474004071
1.9276,3.724137931,0.0146324282622
1.9276,3.862068966,0.012391406267
1.9276,4,0.0105852031412
1.974,0,0.159829697003
1.974,0.1379310345,0.174635767566
1.974,0.275862069,0.190117238197
1.974,0.4137931034,0.206171442651
1.974,0.5517241379,0.222687241909
1.974,0.6896551724,0.239528263295
1.974,0.8275862069,0.256524734186
1.974,0.9655172414,0.273450686256
1.974,1.103448276,0.290003810013
1.974,1.24137931,0.305793199204
1.974,1.379310345,0.320350971708
1.974,1.517241379,0.333179819273
1.974,1.655172414,0.343826954024
1.974,1.793103448,0.351926259006
1.974,1.931034483,0.357203194156
1.974,2.068965517,0.359341879011
1.974,2.206896552,0.35765425176
1.974,2.344827586,0.352869258129
1.974,2.482758621,0.371893141191
1.974,2.620689655,0.314588098536
1.974,2.75862069,0.173636304084
1.974,2.896551724,0.104841740676
1.974,3.034482759,0.0723722122185
1.974,3.172413793,0.0534568170272
1.974,3.310344828,0.0410722782346
1.974,3.448275862,0.0324122466469
1.974,3.586206897,0.026095374245
1.974,3.724137931,0.0213464688857
1.974,3.862068966,0.0176956045379
1.974,4,0.0148365515314
2.0203,0,0.161598082579
2.0203,0.1379310345,0.176786038429
2.0203,0.275862069,0.192785588991
2.0203,0.4137931034,0.209545706368
2.0203,0.5517241379,0.227011269866
2.0203,0.6896551724,0.245125208536
2.0203,0.8275862069,0.263813111623
2.0203,0.9655172414,0.282964740725
2.0203,1.103448276,0.302399685676
2.0203,1.24137931,0.321821920597
2.0203,1.379310345,0.340769181606
2.0203,1.517241379,0.358600468863
2.0203,1.655172414,0.374521205065
2.0203,1.793103448,0.387728768896
2.0203,1.931034483,0.397594077133
2.0203,2.068965517,0.403799080832
2.0203,2.206896552,0.406259021578
2.0203,2.344827586,0.404905536394
2.0203,2.482758621,0.399288064011
2.0203,2.620689655,0.387798774154
2.0203,2.75862069,0.366269061651
2.0203,2.896551724,0.362018554673
2.0203,3.034482759,0.252453015126
2.0203,3.172413793,0.13381491502
2.0203,3.310344828,0.085057951551
2.0203,3.448275862,0.0604152912691
2.0203,3.586206897,0.0454128372927
2.0203,3.724137931,0.0353481361269
2.0203,3.862068966,0.0281969548255
2.0203,4,0.022915213034
2.0667,0,0.163786547402
2.0667,0.1379310345,0.179420182107
2.0667,0.275862069,0.196012768533
2.0667,0.4137931034,0.213562845654
2.0667,0.5517241379,0.232080496623
2.0667,0.6896551724,0.251597365597
2.0667,0.8275862069,0.272161079411
2.0667,0.9655172414,0.293833258178
2.0667,1.103448276,0.316667425448
2.0667,1.24137931,0.34065130115
2.0667,1.379310345,0.365625376271
2.0667,1.517241379,0.391159903612
2.0667,1.655172414,0.416435479085
2.0667,1.793103448,0.440177663254
2.0667,1.931034483,0.460711535536
2.0667,2.068965517,0.476208206269
2.0667,2.206896552,0.485229046745
2.0667,2.344827586,0.487577167269
2.0667,2.482758621,0.484635767552
2.0667,2.620689655,0.477970077884
2.0667,2.75862069,0.467583723535
2.0667,2.896551724,0.452467086666
2.0667,3.034482759,0.430207060137
2.0667,3.172413793,0.394459643441
2.0667,3.310344828,0.358031710889
2.0667,3.448275862,0.25508574397
2.0667,3.586206897,0.128525181852
2.0667,3.724137931,0.0799920593503
2.0667,3.862068966,0.0564675609196
2.0667,4,0.0423923673978
2.1131,0,0.166322988913
2.1131,0.1379310345,0.18243797817
2.1131,0.275862069,0.19965809182
2.1131,0.4137931034,0.218026202399
2.1131,0.5517241379,0.237621999755
2.1131,0.6896551724,0.258565152725
2.1131,0.8275862069,0.281039214798
2.1131,0.9655172414,0.305309687284
2.1131,1.103448276,0.331740920101
2.1131,1.24137931,0.360788785882
2.1131,1.379310345,0.392906056714
2.1131,1.517241379,0.428151328538
2.1131,1.655172414,0.46548247557
2.1131,1.793103448,0.501460546394
2.1131,1.931034483,0.530203460479
2.1131,2.068965517,0.547099940785
2.1131,2.206896552,0.554624680177
2.1131,2.344827586,0.562060678275
2.1131,2.482758621,0.578114553029
2.1131,2.620689655,0.601092743677
2.1131,2.75862069,0.61172911528
2.1131,2.896551724,0.593759544636
2.1131,3.034482759,0.564947605029
2.1131,3.172413793,0.544373946336
2.1131,3.310344828,0.525221054833
2.1131,3.448275862,0.496357007316
2.1131,3.586206897,0.454935068492
2.1131,3.724137931,0.388235764036
2.1131,3.862068966,0.322012246451
2.1131,4,0.167929241993
2.1595,0,0.169124567455
2.1595,0.1379310345,0.185725694477
2.1595,0.275862069,0.203565897396
2.1595,0.4137931034,0.222732758269
2.1595,0.5517241379,0.243362431966
2.1595,0.6896551724,0.265661423516
2.1595,0.8275862069,0.289939563117
2.1595,0.9655172414,0.316666248506
2.1595,1.103448276,0.346545483873
2.1595,1.24137931,0.380586918894
2.1595,1.379310345,0.419826481395
2.1595,1.517241379,0.463429922455
2.1595,1.655172414,0.501627283868
2.1595,1.793103448,0.505040499645
2.1595,1.931034483,0.450928769006
2.1595,2.068965517,0.371622069296
2.1595,2.206896552,0.305646520878
2.1595,2.344827586,0.260431107709
